Date,Portfolio_Value
2021-08-04,219232.81428658683
2021-08-05,224895.73649463372
2021-08-06,215903.3385686715
2021-08-09,216223.89105272345
2021-08-10,215091.69057940503
2021-08-11,214835.99852324522
2021-08-12,215091.4771733582
2021-08-13,214385.59242560505
2021-08-16,210343.6946507499
2021-08-17,210776.47091047885
2021-08-18,210909.2513330193
2021-08-19,209954.23972631563
2021-08-20,209621.04822664178
2021-08-23,212811.38915649138
2021-08-24,215382.0642736708
2021-08-25,216289.35311033778
2021-08-26,213161.25451255467
2021-08-27,215292.61376096128
2021-08-30,212920.38563890138
2021-08-31,213921.17746872164
2021-09-01,215786.65968114592
2021-09-02,213336.0234254902
2021-09-03,212833.35671161785
2021-09-07,221023.1252400722
2021-09-08,221023.1252400722
2021-09-09,221023.1252400722
2021-09-10,221023.1252400722
2021-09-13,221023.1252400722
2021-09-14,221023.1252400722
2021-09-15,221023.1252400722
2021-09-16,221023.1252400722
2021-09-17,221023.1252400722
2021-09-20,221023.1252400722
2021-09-21,221023.1252400722
2021-09-22,217567.50043413287
2021-09-23,212913.46933538286
2021-09-24,208888.90673804266
2021-09-27,211044.19781058925
2021-09-28,210595.03420331783
2021-09-29,212922.69882979695
2021-09-30,211253.2659910574
2021-10-01,207777.9587014376
2021-10-04,206659.0149482048
2021-10-05,209019.74809829966
2021-10-06,208539.828502308
2021-10-07,206658.1153815522
2021-10-08,207807.8879788083
2021-10-11,208455.0229542036
2021-10-12,207239.06573048612
2021-10-13,209006.3176810695
2021-10-14,210682.8010321348
2021-10-15,209446.35467508424
2021-10-18,210805.7267974118
2021-10-19,213859.0205813183
2021-10-20,215711.8102161213
2021-10-21,216234.08954418253
2021-10-22,216196.81527301198
2021-10-25,217354.01765639376
2021-10-26,216258.8471663008
2021-10-27,212826.49922749161
2021-10-28,213749.4297955623
2021-10-29,212903.96100672026
2021-11-01,211423.86931885756
2021-11-02,218243.7598058686
2021-11-03,216663.46544715593
2021-11-04,219055.94855075434
2021-11-05,202004.26127547165
2021-11-08,197320.15799280006
2021-11-09,197500.7770009449
2021-11-10,199859.414382146
2021-11-11,200723.213927628
2021-11-12,205511.77208515612
2021-11-15,206234.28051433468
2021-11-16,207803.23911017488
2021-11-17,206267.33063034224
2021-11-18,205067.6123599141
2021-11-19,206380.8096209091
2021-11-22,208036.57557027612
2021-11-23,204494.11376581926
2021-11-24,204384.6267080287
2021-11-26,215162.2944007764
2021-11-29,215162.2944007764
2021-11-30,215162.2944007764
2021-12-01,215162.2944007764
2021-12-02,215162.2944007764
2021-12-03,215162.2944007764
2021-12-06,215162.2944007764
2021-12-07,215162.2944007764
2021-12-08,215162.2944007764
2021-12-09,215162.2944007764
2021-12-10,215162.2944007764
2021-12-13,215162.2944007764
2021-12-14,215162.2944007764
2021-12-15,215162.2944007764
2021-12-16,215162.2944007764
2021-12-17,220709.7284522701
2021-12-20,224156.27213103365
2021-12-21,234325.3804051432
2021-12-22,234325.3804051432
2021-12-23,235033.1482612524
2021-12-27,237189.8944493828
2021-12-28,238759.10273021206
2021-12-29,239172.4950061771
2021-12-30,238328.76916028425
2021-12-31,238803.6853034271
2022-01-03,236148.72481085203
2022-01-04,237581.68998665875
2022-01-05,239693.47120476613
2022-01-06,241071.51062221418
2022-01-07,240898.42451493104
2022-01-10,238750.75035457348
2022-01-11,238595.89625257454
2022-01-12,239678.1197679885
2022-01-13,238316.8843409986
2022-01-14,237193.48544452142
2022-01-18,241274.41628323158
2022-01-19,242116.65073172795
2022-01-20,238116.4852694758
2022-01-21,239470.3054741624
2022-01-24,241543.85236050317
2022-01-25,240358.1427865144
2022-01-26,235475.54873171198
2022-01-27,239829.2921762336
2022-01-28,233027.69655684463
2022-01-31,229273.92058141157
2022-02-01,227167.1633179866
2022-02-02,228398.02532697518
2022-02-03,227930.0628484357
2022-02-04,224386.44960426854
2022-02-07,223374.82982117246
2022-02-08,220009.51878448017
2022-02-09,218885.32847333082
2022-02-10,215872.47188435955
2022-02-11,219205.01108558988
2022-02-14,214923.2190089146
2022-02-15,204988.61319854012
2022-02-16,202627.06629867945
2022-02-17,201742.20555789128
2022-02-18,201133.19227412826
2022-02-22,203420.8467843098
2022-02-23,205682.61546229018
2022-02-24,208357.37496533364
2022-02-25,209048.0294933265
2022-02-28,210226.99512209033
2022-03-01,212859.81579712097
2022-03-02,211739.1384092805
2022-03-03,216962.21961365576
2022-03-04,221679.68527970975
2022-03-07,231660.12678366015
